Nom de la commune;Code Postal;Département
AMANCY;74800;HAUTE SAVOIE
AMANGE;39700;JURA
AMANLIS;35150;ILLE ET VILAINE
AMANTY;55130;MEUSE
AMANVILLERS;57111;MOSELLE
AMANZE;71610;SAONE ET LOIRE
AMAREINS;01090;AIN
AMAREINS FRANCHELEINS CES;01090;AIN
AMARENS;81170;TARN
AMATHAY VESIGNEUX;25330;DOUBS
AMAYE SUR ORNE;14210;CALVADOS
AMAYE SUR SEULLES;14310;CALVADOS
AMAZY;58190;NIEVRE
AMBACOURT;88500;VOSGES
AMBARES ET LAGRAVE;33440;GIRONDE
AMBAX;31230;HAUTE GARONNE
AMBAZAC;87240;HAUTE VIENNE
AMBEL;38970;ISERE
AMBENAY;27250;EURE
AMBERAC;16140;CHARENTE
AMBERIEU EN BUGEY;01500;AIN
AMBERIEUX;69480;RHONE
AMBERIEUX EN DOMBES;01330;AIN
AMBERNAC;16490;CHARENTE
AMBERRE;86110;VIENNE
AMBERT;63600;PUY DE DOME
AMBES;33810;GIRONDE
AMBEYRAC;12260;AVEYRON
AMBIALET;81430;TARN
AMBIEGNA;20151;CORSE
AMBIERLE;42820;LOIRE
AMBIEVILLERS;70210;HAUTE SAONE
AMBILLOU;37340;INDRE ET LOIRE
AMBILLOU CHATEAU;49700;MAINE ET LOIRE
AMBILLY;74100;HAUTE SAVOIE
AMBLAINCOURT;55250;MEUSE
AMBLAINVILLE;60110;OISE
AMBLANS ET VELOTTE;70200;HAUTE SAONE
AMBLENY;02290;AISNE
AMBLEON;01300;AIN
AMBLETEUSE;62164;PAS DE CALAIS
AMBLEVILLE;95710;VAL D'OISE
AMBLEVILLE;16300;CHARENTE
AMBLIE;14480;CALVADOS
AMBLIMONT;08210;ARDENNES
AMBLOY;41310;LOIR ET CHER
AMBLY FLEURY;08130;ARDENNES
AMBLY SUR MEUSE;55300;MEUSE
AMBOISE;37530;INDRE ET LOIRE
AMBOISE;37400;INDRE ET LOIRE
AMBON;56190;MORBIHAN
AMBONIL;26800;DROME
AMBONNAY;51150;MARNE
AMBONVILLE;52110;HAUTE MARNE
AMBOURVILLE;76480;SEINE MARITIME
AMBRAULT;36120;INDRE
AMBRES;81500;TARN
AMBRICOURT;62310;PAS DE CALAIS
AMBRIEF;02200;AISNE
AMBRIERES;51290;MARNE
AMBRIERES LES VALLEES;53300;MAYENNE
AMBRINES;62127;PAS DE CALAIS
AMBRONAY;01500;AIN
AMBRUGEAT;19250;CORREZE
AMBRUMESNIL;76550;SEINE MARITIME
AMBRUS;47160;LOT ET GARONNE
AMBUTRIX;01500;AIN
AMECOURT;27140;EURE
AMEL SUR L ETANG;55230;MEUSE
AMELECOURT;57170;MOSELLE
AMELIE LES BAINS PALALDA;66110;PYRENEES ORIENTALES
AMENDEUIX ONEIX;64120;PYRENEES ATLANTIQUES
AMENONCOURT;54450;MEURTHE ET MOSELLE
AMENUCOURT;95510;VAL D'OISE
AMEREY;88220;VOSGES
AMES;62190;PAS DE CALAIS
AMETTES;62260;PAS DE CALAIS
AMEUGNY;71460;SAONE ET LOIRE
AMEUVELLE;88410;VOSGES
AMFREVILLE;50480;MANCHE
AMFREVILLE;14860;CALVADOS
AMFREVILLE LA CAMPAGNE;27370;EURE
AMFREVILLE LA MI VOIE;76920;SEINE MARITIME
AMFREVILLE LES CHAMPS;76560;SEINE MARITIME
AMFREVILLE LES CHAMPS;27380;EURE
AMFREVILLE SOUS LES MONTS;27590;EURE
AMFREVILLE SOUS LES MONTS;27380;EURE
AMFREVILLE SUR ITON;27400;EURE
AMFROIPRET;59144;NORD
AMIENS;80090;SOMME
AMIENS;80000;SOMME
AMIENS;80080;SOMME
AMIFONTAINE;02190;AISNE
AMIGNY;50620;MANCHE
AMIGNY ROUY;02700;AISNE
AMILLIS;77120;SEINE ET MARNE
AMILLY;28300;EURE ET LOIR
AMILLY;45200;LOIRET
AMIONS;42260;LOIRE
AMIRAT;06910;ALPES MARITIMES
AMMERSCHWIHR;68770;HAUT RHIN
AMMERZWILLER;68210;HAUT RHIN
AMMEVILLE;14170;CALVADOS
AMNE;72540;SARTHE
AMNEVILLE;57360;MOSELLE
AMONCOURT;70170;HAUTE SAONE
AMONDANS;25330;DOUBS
AMONT ET EFFRENEY;70310;HAUTE SAONE
AMOROTS SUCCOS;64120;PYRENEES ATLANTIQUES
AMOU;40330;LANDES
AMPHION LES BAINS;74500;HAUTE SAVOIE
AMPIAC;12000;AVEYRON
AMPILLY LE SEC;21400;COTE D'OR
AMPILLY LES BORDES;21450;COTE D'OR
AMPLAING;09400;ARIEGE
AMPLEPUIS;69550;RHONE
AMPLIER;62760;PAS DE CALAIS
AMPOIGNE;53200;MAYENNE
AMPONVILLE;77760;SEINE ET MARNE
AMPRIANI;20272;CORSE
AMPUIS;69420;RHONE
AMPUS;83111;VAR
AMURE;79210;DEUX SEVRES
AMY;60310;OISE
ANAA;98760;DOM-TOM
ANAIS;17540;CHARENTE MARITIME
ANAIS;16560;CHARENTE
ANAN;31230;HAUTE GARONNE
ANCE;64570;PYRENEES ATLANTIQUES
ANCEAUMEVILLE;76710;SEINE MARITIME
ANCEINS;61550;ORNE
ANCELLE;05260;HAUTES ALPES
ANCEMONT;55320;MEUSE
ANCENIS;44150;LOIRE ATLANTIQUE
ANCERVILLE;55170;MEUSE
ANCERVILLE;57580;MOSELLE
ANCERVILLER;54450;MEURTHE ET MOSELLE
ANCEY;21410;COTE D'OR
ANCHAMPS;08500;ARDENNES
ANCHE;86700;VIENNE
ANCHE;37500;INDRE ET LOIRE
ANCHENONCOURT ET CHAZEL;70210;HAUTE SAONE
ANCIENVILLE;02600;AISNE
ANCIER;70100;HAUTE SAONE
ANCINNES;72610;SARTHE
ANCIZAN;65440;HAUTES PYRENEES
ANCONE;26200;DROME
ANCOURT;76370;SEINE MARITIME
ANCOURTEVILLE SUR HERICOU;76560;SEINE MARITIME
ANCRETIEVILLE VICTOR;76760;SEINE MARITIME
ANCRETTEVILLE SUR MER;76540;SEINE MARITIME
ANCTEVILLE;50200;MANCHE
ANCTOVILLE;14240;CALVADOS
ANCTOVILLE SUR BOSCQ;50400;MANCHE
ANCY;69490;RHONE
ANCY LE FRANC;89160;YONNE
ANCY LE LIBRE;89160;YONNE
ANCY SUR MOSELLE;57130;MOSELLE
ANDAINVILLE;80140;SOMME
ANDANCE;07340;ARDECHE
ANDANCETTE;26140;DROME
ANDARD;49800;MAINE ET LOIRE
ANDE;27430;EURE
ANDECHY;80700;SOMME
ANDEL;22400;COTES D'ARMOR
ANDELAIN;02800;AISNE
ANDELAROCHE;03120;ALLIER
ANDELARRE;70000;HAUTE SAONE
ANDELARROT;70000;HAUTE SAONE
ANDELAT;15100;CANTAL
ANDELNANS;90400;TERRITOIRE DE BELFORT
ANDELOT BLANCHEVILLE;52700;HAUTE MARNE
ANDELOT EN MONTAGNE;39110;JURA
ANDELOT MORVAL;39320;JURA
ANDELU;78770;YVELINES
ANDERNAY;55800;MEUSE
ANDERNOS LES BAINS;33510;GIRONDE
ANDERNY;54560;MEURTHE ET MOSELLE
ANDERT ET CONDON;01300;AIN
ANDEVANNE;08240;ARDENNES
ANDEVILLE;60570;OISE
ANDIGNE;49220;MAINE ET LOIRE
ANDILLAC;81140;TARN
ANDILLY;17230;CHARENTE MARITIME
ANDILLY;74350;HAUTE SAVOIE
ANDILLY;54200;MEURTHE ET MOSELLE
ANDILLY;95580;VAL D'OISE
ANDILLY EN BASSIGNY;52360;HAUTE MARNE
ANDIRAN;47170;LOT ET GARONNE
ANDLAU;67140;BAS RHIN
ANDOINS;64420;PYRENEES ATLANTIQUES
ANDOLSHEIM;68280;HAUT RHIN
ANDON;06750;ALPES MARITIMES
ANDONVILLE;45480;LOIRET
ANDORNAY;70200;HAUTE SAONE
ANDOUILLE;53240;MAYENNE
ANDOUILLE NEUVILLE;35250;ILLE ET VILAINE
ANDOUQUE;81350;TARN
ANDREIN;64390;PYRENEES ATLANTIQUES
ANDRES;62340;PAS DE CALAIS
ANDREST;65390;HAUTES PYRENEES
ANDRESY;78570;YVELINES
ANDREZE;49600;MAINE ET LOIRE
ANDREZEL;77390;SEINE ET MARNE
ANDREZIEUX BOUTHEON;42160;LOIRE
ANDRYES;89480;YONNE
ANDUZE;30140;GARD
ANERAN CAMORS;65510;HAUTES PYRENEES
ANERES;65150;HAUTES PYRENEES
ANET;28260;EURE ET LOIR
ANETZ;44150;LOIRE ATLANTIQUE
ANGAIS;64510;PYRENEES ATLANTIQUES
ANGE;41400;LOIR ET CHER
ANGEAC CHAMPAGNE;16130;CHARENTE
ANGEAC CHARENTE;16120;CHARENTE
ANGECOURT;08450;ARDENNES
ANGEDUC;16300;CHARENTE
ANGELY;89440;YONNE
ANGEOT;90150;TERRITOIRE DE BELFORT
ANGERS;49000;MAINE ET LOIRE
ANGERS;49100;MAINE ET LOIRE
